"","X1","CTYNAME","X1.x","VOTE_ELIGIBLE","OCC.Professional","OCC.Education","OCC.Information","OCC.Finance","OCC.Manufacturing","HIGHSCHOOL DEGREE","BACHELOR'S DEGREE","INCOME.HC01_EST_VC13","INCOME.HC01_EST_VC02","AGE2024_TOTAL","AGE2529_TOTAL","AGE2024_MALE","AGE2024_FEMALE","AGE2529_MALE","AGE2529_FEMALE","percent_citizen","percent_citizen_abroad","percent_citizen_naturalized","percent_citizen_not","percent_black","percent_white","percent_indian","percent_asian","YEAR.x","OCC.PublicAdmin","EMPLOY.HC04_EST_VC01","percent_female","X1.y","SOCIALCAP.assn2014","YEAR.y","median_income1000","predict.model.e3..newdata...current_data..allow.new.levels...TRUE.","Vote_Number","State"
"28",28,"houston",28,14757,0.0807921279452781,0.286598601577678,0.0232278734481378,0.0336585420024014,0.125813387834269,27.5000000000005,11.7500000000002,56802,4.74999999999994,5.19999999999999,4.65000000000001,5.45000000000002,4.94999999999999,5.05000000000001,4.19999999999999,0.986040129801876,0.00271655188025799,0.0075156081388138,0.00234389399470958,0.00465315618274786,0.981405631628997,0.00210026010795036,0.00405967210817904,2018,0.0376806086861299,4.19999999999993,0.495836888976386,28,1.70730406018247,2018,56.802,0.572427092050532,8447.3065973897,"Minnesota"
"29",29,"hubbard",29,16247.5,0.0557066482860062,0.286570098111696,0.0130634971624371,0.0399499177512785,0.0833132803101657,41.5999999999999,5.40000000000001,50415,3.70000000000005,3.95,3.94999999999999,4,3.75,4.39999999999999,3.50000000000003,0.980619429834061,0.00483912984339857,0.00676112033352827,0.00763714674836824,0.00653969438763563,0.935697431679573,0.0212622174510931,0.00602222627613769,2018,0.0477484459001878,3.99999999999989,0.501414332128669,29,1.55445448362965,2018,50.415,0.576734736514689,9370.4976315224,"Minnesota"
"30",30,"isanti",30,28494.2000000001,0.0595918177184973,0.23468691571607,0.00887648998224702,0.0547544265121966,0.159094479998915,50,3.30000000000001,62615.4000000001,3.48999999999997,5.15000000000001,5.80000000000001,5.15000000000001,5,5.79999999999998,5.75,0.980356936611778,0.00542086188384594,0.00923172251265081,0.00492627634106735,0.00588660497711496,0.951112245672608,0.00454094012790401,0.00868687819304376,2018,0.0396925550385181,5.85000000000002,0.495423773345786,30,1.25019534302235,2018,62.6154000000001,0.517341243339729,14741.224855971,"Minnesota"
"31",31,"itasca",31,35699.6,0.076194690833717,0.271915801359739,0.00666169525229928,0.0475394598580581,0.0947733988862938,23.3000000000002,5.20000000000005,50254.5000000002,5.2999999999999,4.95,4.55,5.39999999999999,4.55,4.65000000000001,4.40000000000001,0.986499780226724,0.00356717549382152,0.00641781152919949,0.00314008483805306,0.00491704855744224,0.924740296411453,0.0349822142330882,0.00419016240029067,2018,0.043445475344164,5.59999999999991,0.493206718685984,31,1.29624747341594,2018,50.2545000000002,0.560125480594978,19996.2556070485,"Minnesota"
"32",32,"jackson",32,7676,0.0398013021186978,0.239309977253138,0.0118343195266272,0.0330807263859088,0.187826875879819,28.35,11.35,57133,3.60000000000002,5.5,5.75,5.25,5.85000000000002,6.49999999999994,5.05000000000001,0.978765168239625,0.00251247127947316,0.00135344822442018,0.0167741065772923,0.0022724896723518,0.962292635090524,0.000897623211101886,0.0221004326581452,2018,0.0402047679479176,3.7,0.49396600529727,32,2.9276861520445,2018,57.133,0.529316494014418,4063.03340805467,"Minnesota"
"33",33,"kanabec",33,12350.5,0.0490347353913462,0.261400698968069,0.0155174740250978,0.05849021345891,0.128641994731026,42.95,4.74999999999989,48642,4.95,5.35000000000002,4.70000000000002,5.80000000000001,4.94999999999999,4.69999999999999,4.75,0.990626638505561,0.000407229291972788,0.00389673204477094,0.00506940015769512,0.0034075032818095,0.975248656377469,0.00984378522234406,0.00481198246352732,2018,0.0346593863338343,8.24999999999989,0.492468905978626,33,1.69395821569735,2018,48.642,0.539750678275547,6666.19075204215,"Minnesota"
"34",34,"kandiyohi",34,31220.4000000001,0.0691202407938865,0.270561533790068,0.00924903368304804,0.0355452975529121,0.161158614249124,21.1999999999998,9.64999999999998,53562.3000000002,5.38999999999999,7.14999999999999,5.85,7.15,7.14999999999998,6.2,5.6,0.920073098746048,0.00291949064256672,0.0273603349018199,0.0490241619462992,0.0366820936087739,0.883479995454001,0.00547771763436021,0.00722100747251686,2018,0.0327991470461527,4.14999999999998,0.497997072331838,34,1.90745319675026,2018,53.5623000000002,0.529129083843522,16519.6216492283,"Minnesota"
"35",35,"kittson",35,3386.5,0.0347877676063659,0.205365709146,0.00226860254083485,0.029456024006979,0.149285585847851,31.75,6.15000000000009,52146.5,6.15,5.05000000000001,3.6,5.44999999999999,4.59999999999999,4,3.25,0.982285039237698,0.00324380663508284,0.00848629533719869,0.00598485879002142,0.00636921912656857,0.992592485223854,0.00204602272624828,0.00388950767481019,2018,0.0624494011329331,2.7,0.498113795632436,35,4.05222872579919,2018,52.1465,0.533822773964957,1807.79082403233,"Minnesota"
"36",36,"koochiching",36,10043.5,0.0464295404450419,0.203524693881093,0.0124764997436336,0.0545986092723774,0.168843044936978,34.7500000000001,8.59999999999991,46006,7.34999999999997,4.94999999999999,4.40000000000001,5.30000000000001,4.75,4.8,4,0.916034773645916,0.026951921516984,0.0317684546634673,0.027213500348211,0.00929198334748116,0.947533818602905,0.0368168505909003,0.00446588427378579,2018,0.0374194568809294,7.85000000000002,0.499689170823149,36,1.86292012729954,2018,46.006,0.513869950456093,5161.05284740577,"Minnesota"
"37",37,"lac qui parle",37,5391.5,0.031098289246859,0.265301262149391,0.00805060379528465,0.0403792601147259,0.0966840889903606,37.0500000000001,2.25,50648,4.3,4.5,3.65000000000001,4.45,4.60000000000002,3.85000000000002,3.4,0.976923121102777,0.00327993379039565,0.0105260115742412,0.00927093353258573,0.0102020433303225,0.988412328467838,0.00208591596419772,0.00419553364617309,2018,0.0370175200781399,3.54999999999998,0.499566259846703,37,2.75562001450326,2018,50.648,0.55040986825747,2967.53480471015,"Minnesota"
"38",38,"lake",38,8592.5,0.0567406247030325,0.274045700272065,0.0328241123038811,0.0340231566311724,0.123387245295156,40.8999999999999,5.95000000000002,52362.5,7,4,5.14999999999999,3.59999999999999,4.25,5.65000000000001,4.7,0.972702812986647,0.00402117127163737,0.00898651737568584,0.01428949836603,0.00895948542311364,0.973980986100037,0.00523729381278959,0,2018,0.0689537280785082,5.05,0.487098343654725,38,1.96610804231813,2018,52.3625,0.597993987185958,5138.26333489534,"Minnesota"
"39",39,"lake of the woods",39,3098,0.00883493547883629,0.14903925791275,0.0138135175135668,0.027532826340074,0.262186532913425,69.1000000000004,4.65000000000009,45251.5,3.55000000000007,6.50000000000011,2.25,7.79999999999995,5.05000000000001,2.19999999999999,2.25,0.972138356779086,0.0151390572258034,-0.00300573236812252,0.0175368546545278,0.00120686854586038,0.959548937207365,0.00315391594068182,0.0116755106260653,2018,0.0196299071812742,3.25000000000006,0.480167082811333,39,3.5741639009446,2018,45.2515,0.574327476366495,1779.2665217834,"Minnesota"
