"","YEAR","CTYNAME","TOTVOTERS","MIDTERM"
"399",2016,"cottonwood",5786,0
"400",2008,"crow wing",35299,0
"401",2012,"crow wing",35067,0
"402",2016,"crow wing",36148,0
"403",2008,"dakota",225933,0
"404",2012,"dakota",231571,0
"405",2016,"dakota",233346,0
"406",2008,"dodge",10253,0
"407",2012,"dodge",10399,0
"408",2016,"dodge",10734,0
"409",2008,"douglas",21012,0
"410",2012,"douglas",21114,0
"411",2016,"douglas",21965,0
"412",2008,"faribault",8201,0
"413",2012,"faribault",7771,0
"414",2016,"faribault",7480,0
"415",2008,"fillmore",11287,0
"416",2012,"fillmore",10946,0
"417",2016,"fillmore",11177,0
"418",2008,"freeborn",17369,0
"419",2012,"freeborn",16817,0
"420",2016,"freeborn",16195,0
"421",2008,"goodhue",25902,0
"422",2012,"goodhue",25923,0
"423",2016,"goodhue",25929,0
"424",2008,"grant",3629,0
"425",2012,"grant",3509,0
"426",2016,"grant",3522,0
"427",2008,"hennepin",665485,0
"428",2012,"hennepin",682764,0
"429",2016,"hennepin",685043,0
"430",2008,"houston",10953,0
"431",2012,"houston",10517,0
"432",2016,"houston",10724,0
"433",2008,"hubbard",11706,0
"434",2012,"hubbard",11616,0
"435",2016,"hubbard",11627,0
"436",2008,"isanti",20122,0
"437",2012,"isanti",20316,0
"438",2016,"isanti",21149,0
"439",2008,"itasca",24510,0
"440",2012,"itasca",24060,0
"441",2016,"itasca",24455,0
"442",2008,"jackson",5694,0
"443",2012,"jackson",5499,0
"444",2016,"jackson",5558,0
"445",2008,"kanabec",8536,0
"446",2012,"kanabec",8188,0
"447",2016,"kanabec",8232,0
"448",2008,"kandiyohi",21985,0
"449",2012,"kandiyohi",21546,0
"450",2016,"kandiyohi",21970,0
"451",2008,"kittson",2602,0
"452",2012,"kittson",2452,0
"453",2016,"kittson",2434,0
"454",2008,"koochiching",6834,0
"455",2012,"koochiching",6514,0
"456",2016,"koochiching",6435,0
"457",2008,"lac qui parle",4224,0
"458",2012,"lac qui parle",4007,0
"459",2016,"lac qui parle",3920,0
"460",2008,"lake",6991,0
"461",2012,"lake",6855,0
"462",2016,"lake",6562,0
"463",2008,"lake of the woods",2328,0
"464",2012,"lake of the woods",2247,0
"465",2016,"lake of the woods",2269,0
"466",2008,"le sueur",15088,0
"467",2012,"le sueur",14866,0
"468",2016,"le sueur",15096,0
"469",2008,"lincoln",3159,0
"470",2012,"lincoln",3148,0
"471",2016,"lincoln",3046,0
"472",2008,"lyon",12773,0
"473",2012,"lyon",12461,0
"474",2016,"lyon",12310,0
"475",2008,"mahnomen",2360,0
"476",2012,"mahnomen",2200,0
"477",2016,"mahnomen",2116,0
"478",2008,"marshall",4781,0
"479",2012,"marshall",4935,0
"480",2016,"marshall",4905,0
