"CTYNAME","WHITE","BLACK","INDIAN","ASIAN","HAWAIIAN","OTHERS","YEAR","POPULATION 18-24","HIGHSCHOOL DEGREE","BACHELOR'S DEGREE","POPULATION >25","HIGHSCHOOL DEGREE >25","BACHELOR'S DEGREE >25","GRADUATE DEGREE >25","POVERTY RATE >25","Percent Married","Percent Divorced","EMPLOYMENT ESTIMATE","INCOME/BENEFITS","Citizen: Total","Citizen: US Born","Citizen: Puerto Rico/US Islands Born","Citizen: Born Abroad","Citizen: Naturalization","Not Citizen","AGE1519","AGE2024","AGE2529","AGE18ABOVE","POPULATION"
"Dodge County, Minnesota",19614,107,31,101,0,179,2014,1536,37.2,7.4,13056,32.9,18.1,6,15.1,59.2,9.8,14775,7301,20246,19773,45,44,124,260,7.3,4.6,6.2,70.9,20246
"Dodge County, Minnesota",19614,107,31,101,0,179,2014,1536,37.2,7.4,13056,32.9,18.1,6,15.1,59.2,9.8,14775,7301,20246,19773,45,44,124,260,7.4,5.1,5.3,72.1,20246
"Dodge County, Minnesota",19614,107,31,101,0,179,2014,1536,37.2,7.4,13056,32.9,18.1,6,15.1,59.2,9.8,15232,7491,20246,19773,45,44,124,260,7.3,4.6,6.2,70.9,20246
"Dodge County, Minnesota",19614,107,31,101,0,179,2014,1536,37.2,7.4,13056,32.9,18.1,6,15.1,59.2,9.8,15232,7491,20246,19773,45,44,124,260,7.4,5.1,5.3,72.1,20246
"Douglas County, Minnesota",35590,191,100,82,2,61,2014,2843,27.2,9.9,25786,30.5,17.3,6.9,18.6,60.7,8.8,29082,16070,36413,35836,21,179,198,179,6.6,6.1,6,78.2,36413
"Douglas County, Minnesota",35590,191,100,82,2,61,2014,2843,27.2,9.9,25786,30.5,17.3,6.9,18.6,60.7,8.8,29082,16070,36413,35836,21,179,198,179,5.7,5.6,5.7,78.6,36413
"Douglas County, Minnesota",35590,191,100,82,2,61,2014,2843,27.2,9.9,25786,30.5,17.3,6.9,18.6,60.7,8.8,29515,15639,36413,35836,21,179,198,179,6.6,6.1,6,78.2,36413
"Douglas County, Minnesota",35590,191,100,82,2,61,2014,2843,27.2,9.9,25786,30.5,17.3,6.9,18.6,60.7,8.8,29515,15639,36413,35836,21,179,198,179,5.7,5.6,5.7,78.6,36413
"Faribault County, Minnesota",14002,56,49,56,0,50,2014,956,36.9,5.9,10307,40.2,12.7,4.3,24.7,57.5,10.3,12028,6301,14337,14022,2,60,123,130,7.2,4.8,4.6,77.7,14337
"Faribault County, Minnesota",14002,56,49,56,0,50,2014,956,36.9,5.9,10307,40.2,12.7,4.3,24.7,57.5,10.3,12028,6301,14337,14022,2,60,123,130,6.4,4.5,5,78.6,14337
"Faribault County, Minnesota",14002,56,49,56,0,50,2014,956,36.9,5.9,10307,40.2,12.7,4.3,24.7,57.5,10.3,11663,6311,14337,14022,2,60,123,130,7.2,4.8,4.6,77.7,14337
"Faribault County, Minnesota",14002,56,49,56,0,50,2014,956,36.9,5.9,10307,40.2,12.7,4.3,24.7,57.5,10.3,11663,6311,14337,14022,2,60,123,130,6.4,4.5,5,78.6,14337
"Fillmore County, Minnesota",20492,75,33,58,0,35,2014,1439,30,5.4,14407,36.1,13.4,5.3,29.4,59.8,9.1,16494,8546,20842,20513,1,105,116,107,6.9,4.8,5.2,75.4,20842
"Fillmore County, Minnesota",20492,75,33,58,0,35,2014,1439,30,5.4,14407,36.1,13.4,5.3,29.4,59.8,9.1,16494,8546,20842,20513,1,105,116,107,6,4.9,4.9,76,20842
"Fillmore County, Minnesota",20492,75,33,58,0,35,2014,1439,30,5.4,14407,36.1,13.4,5.3,29.4,59.8,9.1,16393,8424,20842,20513,1,105,116,107,6.9,4.8,5.2,75.4,20842
"Fillmore County, Minnesota",20492,75,33,58,0,35,2014,1439,30,5.4,14407,36.1,13.4,5.3,29.4,59.8,9.1,16393,8424,20842,20513,1,105,116,107,6,4.9,4.9,76,20842
"Freeborn County, Minnesota",29496,297,105,301,12,445,2014,2282,38.4,3.6,21944,36.7,10.6,4.7,20.2,52.2,11.4,25337,13186,31034,29944,4,89,347,650,6.4,4.9,5.3,77.9,31034
"Freeborn County, Minnesota",29496,297,105,301,12,445,2014,2282,38.4,3.6,21944,36.7,10.6,4.7,20.2,52.2,11.4,25337,13186,31034,29944,4,89,347,650,5.7,5.4,5.2,78.1,31034
"Freeborn County, Minnesota",29496,297,105,301,12,445,2014,2282,38.4,3.6,21944,36.7,10.6,4.7,20.2,52.2,11.4,25015,13077,31034,29944,4,89,347,650,6.4,4.9,5.3,77.9,31034
"Freeborn County, Minnesota",29496,297,105,301,12,445,2014,2282,38.4,3.6,21944,36.7,10.6,4.7,20.2,52.2,11.4,25015,13077,31034,29944,4,89,347,650,5.7,5.4,5.2,78.1,31034
"Goodhue County, Minnesota",43999,557,514,257,0,233,2014,3368,38.1,10,32228,32.8,16.7,6.8,22,55.8,11.5,36324,18758,46336,45097,4,131,409,695,6.8,5.1,5.4,76,46336
"Goodhue County, Minnesota",43999,557,514,257,0,233,2014,3368,38.1,10,32228,32.8,16.7,6.8,22,55.8,11.5,36324,18758,46336,45097,4,131,409,695,6.6,5.1,5.4,76.8,46336
"Goodhue County, Minnesota",43999,557,514,257,0,233,2014,3368,38.1,10,32228,32.8,16.7,6.8,22,55.8,11.5,36933,18743,46336,45097,4,131,409,695,6.8,5.1,5.4,76,46336
"Goodhue County, Minnesota",43999,557,514,257,0,233,2014,3368,38.1,10,32228,32.8,16.7,6.8,22,55.8,11.5,36933,18743,46336,45097,4,131,409,695,6.6,5.1,5.4,76.8,46336
"Grant County, Minnesota",5840,6,16,23,0,16,2014,388,25.3,9.3,4314,34.1,14.8,3.4,20.8,60.3,10.3,4928,2663,5977,5889,0,17,51,20,6.1,4.7,5.1,78.4,5977
"Grant County, Minnesota",5840,6,16,23,0,16,2014,388,25.3,9.3,4314,34.1,14.8,3.4,20.8,60.3,10.3,4928,2663,5977,5889,0,17,51,20,5.6,4.5,4.8,78.7,5977
"Grant County, Minnesota",5840,6,16,23,0,16,2014,388,25.3,9.3,4314,34.1,14.8,3.4,20.8,60.3,10.3,4850,2576,5977,5889,0,17,51,20,6.1,4.7,5.1,78.4,5977
"Grant County, Minnesota",5840,6,16,23,0,16,2014,388,25.3,9.3,4314,34.1,14.8,3.4,20.8,60.3,10.3,4850,2576,5977,5889,0,17,51,20,5.6,4.5,4.8,78.7,5977
"Hennepin County, Minnesota",886047,141240,8458,77744,484,27761,2014,110187,21.6,19,808209,18.2,30.2,16.1,33.1,46.8,10,905608,473856,1184091,1019021,960,9106,71113,83891,6.5,7.4,8.7,77.1,1184091
"Hennepin County, Minnesota",886047,141240,8458,77744,484,27761,2014,110187,21.6,19,808209,18.2,30.2,16.1,33.1,46.8,10,905608,473856,1184091,1019021,960,9106,71113,83891,6.1,6.8,8.8,77.6,1184091
"Hennepin County, Minnesota",886047,141240,8458,77744,484,27761,2014,110187,21.6,19,808209,18.2,30.2,16.1,33.1,46.8,10,946185,484868,1184091,1019021,960,9106,71113,83891,6.5,7.4,8.7,77.1,1184091
"Hennepin County, Minnesota",886047,141240,8458,77744,484,27761,2014,110187,21.6,19,808209,18.2,30.2,16.1,33.1,46.8,10,946185,484868,1184091,1019021,960,9106,71113,83891,6.1,6.8,8.8,77.6,1184091
"Houston County, Minnesota",18359,46,49,30,0,37,2014,1342,30,8.3,13381,34.8,15.3,6.7,23.7,57.9,8.3,15270,7770,18859,18567,17,72,117,86,7.1,4.6,5,76.1,18859
"Houston County, Minnesota",18359,46,49,30,0,37,2014,1342,30,8.3,13381,34.8,15.3,6.7,23.7,57.9,8.3,15270,7770,18859,18567,17,72,117,86,6.4,4.8,4.9,78.1,18859
"Houston County, Minnesota",18359,46,49,30,0,37,2014,1342,30,8.3,13381,34.8,15.3,6.7,23.7,57.9,8.3,15254,7862,18859,18567,17,72,117,86,7.1,4.6,5,76.1,18859
"Houston County, Minnesota",18359,46,49,30,0,37,2014,1342,30,8.3,13381,34.8,15.3,6.7,23.7,57.9,8.3,15254,7862,18859,18567,17,72,117,86,6.4,4.8,4.9,78.1,18859
"Hubbard County, Minnesota",19406,131,404,90,10,74,2014,1205,40.2,6.2,14931,31.6,16.7,7.6,23.1,62.2,10.7,16292,8616,20518,20159,3,81,153,122,6.3,4,4.4,77.8,20518
"Hubbard County, Minnesota",19406,131,404,90,10,74,2014,1205,40.2,6.2,14931,31.6,16.7,7.6,23.1,62.2,10.7,16292,8616,20518,20159,3,81,153,122,5.9,3.9,4.3,78.6,20518
"Hubbard County, Minnesota",19406,131,404,90,10,74,2014,1205,40.2,6.2,14931,31.6,16.7,7.6,23.1,62.2,10.7,16712,8740,20518,20159,3,81,153,122,6.3,4,4.4,77.8,20518
"Hubbard County, Minnesota",19406,131,404,90,10,74,2014,1205,40.2,6.2,14931,31.6,16.7,7.6,23.1,62.2,10.7,16712,8740,20518,20159,3,81,153,122,5.9,3.9,4.3,78.6,20518
"Isanti County, Minnesota",36720,235,199,279,6,73,2014,2940,42.2,4,25625,38.8,12.1,5,22.8,56.7,9.8,28752,13988,38190,37528,3,151,317,191,7,5.9,6.6,73.4,38190
"Isanti County, Minnesota",36720,235,199,279,6,73,2014,2940,42.2,4,25625,38.8,12.1,5,22.8,56.7,9.8,28752,13988,38190,37528,3,151,317,191,6.8,5.4,6.2,74.8,38190
"Isanti County, Minnesota",36720,235,199,279,6,73,2014,2940,42.2,4,25625,38.8,12.1,5,22.8,56.7,9.8,29667,13958,38190,37528,3,151,317,191,7,5.9,6.6,73.4,38190
"Isanti County, Minnesota",36720,235,199,279,6,73,2014,2940,42.2,4,25625,38.8,12.1,5,22.8,56.7,9.8,29667,13958,38190,37528,3,151,317,191,6.8,5.4,6.2,74.8,38190
"Itasca County, Minnesota",42195,188,1406,182,32,157,2014,3171,33.9,4,32410,33.7,14.5,7.2,17,57.6,11.3,36282,18998,45303,44658,26,191,265,163,6.6,4.8,4.9,78,45303
