"","CTYNAME","YEAR","TOTALMALE","TOTALFEMALE","AGE1519","AGE2024","AGE2529","AGE18ABOVE"
"181","Scott County, Minnesota",2016,"69528","69962","7.0","5.1","5.5","71.2"
"182","Sherburne County, Minnesota",2016,"46610","44578","7.3","6.0","6.2","72.6"
"183","Sibley County, Minnesota",2016,"7555","7402","6.6","4.9","5.0","75.6"
"184","Stearns County, Minnesota",2016,"77355","76306","8.5","11.0","6.3","77.1"
"185","Steele County, Minnesota",2016,"18073","18468","6.6","5.5","5.4","74.5"
"186","Stevens County, Minnesota",2016,"4884","4878","10.3","13.9","5.5","79.0"
"187","Swift County, Minnesota",2016,"4775","4708","5.8","5.2","4.7","77.8"
"188","Todd County, Minnesota",2016,"12419","11916","6.6","5.4","4.7","76.0"
"189","Traverse County, Minnesota",2016,"1635","1762","6.0","4.9","4.2","79.5"
"190","Wabasha County, Minnesota",2016,"10627","10700","5.8","5.0","5.2","77.6"
"191","Wadena County, Minnesota",2016,"6809","6946","6.1","5.2","4.9","75.6"
"192","Waseca County, Minnesota",2016,"8996","10038","5.9","5.6","6.6","76.7"
"193","Washington County, Minnesota",2016,"123093","125652","7.0","5.5","5.5","74.8"
"194","Watonwan County, Minnesota",2016,"5414","5582","5.8","5.8","5.3","75.7"
"195","Wilkin County, Minnesota",2016,"3258","3221","6.5","3.3","6.0","76.9"
"196","Winona County, Minnesota",2016,"25238","25907","10.0","14.3","6.0","81.6"
"197","Wright County, Minnesota",2016,"65372","64550","6.9","4.9","5.7","71.2"
"198","Yellow Medicine County, Minnesota",2016,"5115","4923","6.1","5.1","5.2","76.8"
"199","Anoka County, Minnesota",2017,"175525","175848","6.7","5.4","6.2","76.0"
"200","Blue Earth County, Minnesota",2017,"34011","32962","9.4","17.3","6.9","80.8"
"201","Carver County, Minnesota",2017,"50422","51697","7.5","5.3","4.1","72.9"
"202","Dakota County, Minnesota",2017,"208115","213636","6.6","5.2","6.5","75.5"
"203","Hennepin County, Minnesota",2017,"619807","632217","5.7","6.3","8.6","78.0"
"204","Olmsted County, Minnesota",2017,"74864","80066","6.1","5.6","6.9","75.5"
"205","Ramsey County, Minnesota",2017,"266534","281440","6.4","7.3","8.7","76.7"
"206","Rice County, Minnesota",2017,"33316","32652","8.2","9.6","5.0","78.3"
"207","St. Louis County, Minnesota",2017,"99865","100135","7.1","8.9","5.9","81.0"
"208","Scott County, Minnesota",2017,"74003","71824","7.0","5.2","5.7","72.1"
"209","Sherburne County, Minnesota",2017,"48892","45678","7.1","5.9","6.2","73.8"
"210","Stearns County, Minnesota",2017,"79463","78359","8.4","10.6","6.1","77.0"
"211","Washington County, Minnesota",2017,"127358","128990","6.7","5.4","5.7","75.4"
"212","Wright County, Minnesota",2017,"67603","66683","7.0","5.2","5.1","71.9"
