"","CTYNAME","YEAR","TOTALMALE","TOTALFEMALE","AGE2024_TOTAL","AGE2024_MALE","AGE2024_FEMALE","AGE2529_TOTAL","AGE2529_MALE","AGE2529_FEMALE","AGE18ABOVE"
"160","Morrison County, Minnesota",2012,"16781","16392","5.2","5.4","5.0","5.9","6.2","5.7","75.7"
"161","Mower County, Minnesota",2012,"19392","19723","6.1","6.6","5.7","5.4","5.8","4.9","74.8"
"162","Murray County, Minnesota",2012,"4301","4389","3.8","4.2","3.5","4.4","4.5","4.3","78.3"
"163","Nicollet County, Minnesota",2012,"16328","16361","10.9","10.5","11.3","7.2","8.0","6.3","77.6"
"164","Nobles County, Minnesota",2012,"10833","10516","6.5","6.5","6.5","7.0","8.1","5.9","74.2"
"165","Norman County, Minnesota",2012,"3409","3387","3.6","3.8","3.3","4.5","4.8","4.2","76.1"
"166","Olmsted County, Minnesota",2012,"70814","73693","5.7","5.5","5.8","7.9","8.0","7.8","74.9"
"167","Otter Tail County, Minnesota",2012,"28702","28679","4.7","4.9","4.5","4.9","5.0","4.8","78.4"
"168","Pennington County, Minnesota",2012,"6855","7095","6.3","6.8","5.8","6.5","6.9","6.2","76.3"
"169","Pine County, Minnesota",2012,"15810","13754","4.9","5.2","4.5","6.1","6.5","5.7","78.1"
"170","Pipestone County, Minnesota",2012,"4662","4874","4.6","4.5","4.7","5.5","6.3","4.7","75.3"
"171","Polk County, Minnesota",2012,"15889","15537","7.1","7.9","6.2","5.8","6.2","5.4","76.6"
"172","Pope County, Minnesota",2012,"5567","5411","4.5","4.6","4.4","5.4","5.9","4.9","78.9"
"173","Ramsey County, Minnesota",2012,"247785","263100","8.6","8.6","8.6","8.5","8.6","8.5","76.7"
"174","Red Lake County, Minnesota",2012,"2084","2016","5.0","5.8","4.3","5.9","5.8","5.9","75.6"
"175","Redwood County, Minnesota",2012,"7999","8007","4.4","4.7","4.2","5.1","5.4","4.8","75.4"
"176","Renville County, Minnesota",2012,"7944","7709","4.8","5.0","4.5","4.8","5.1","4.6","77.0"
"177","Rice County, Minnesota",2012,"32741","31430","10.0","11.1","8.9","5.9","6.3","5.5","76.7"
"178","Rock County, Minnesota",2012,"4729","4891","4.2","4.2","4.2","4.9","5.2","4.7","74.7"
"179","Roseau County, Minnesota",2012,"8008","7657","4.3","4.3","4.2","4.9","5.0","4.8","73.9"
"180","St. Louis County, Minnesota",2012,"100346","99804","8.9","9.4","8.4","6.0","6.2","5.7","80.4"
"181","Scott County, Minnesota",2012,"65044","65645","4.4","4.7","4.1","6.1","5.7","6.4","70.0"
"182","Sherburne County, Minnesota",2012,"45110","43448","6.0","6.4","5.6","6.6","6.7","6.5","71.0"
"183","Sibley County, Minnesota",2012,"7664","7525","4.5","4.6","4.5","5.3","5.1","5.4","74.7"
"184","Stearns County, Minnesota",2012,"75912","74395","10.9","11.4","10.5","6.8","7.1","6.6","77.0"
"185","Steele County, Minnesota",2012,"17974","18550","5.3","5.7","4.9","6.0","6.3","5.7","73.8"
"186","Stevens County, Minnesota",2012,"4804","4908","12.6","13.5","11.7","5.7","6.0","5.3","79.1"
"187","Swift County, Minnesota",2012,"5024","4740","4.8","5.5","4.1","4.9","5.3","4.5","78.5"
"188","Todd County, Minnesota",2012,"12641","12142","5.0","5.2","4.8","5.1","5.1","5.2","75.2"
"189","Traverse County, Minnesota",2012,"1800","1749","3.4","4.1","2.7","5.3","6.1","4.6","78.8"
"190","Wabasha County, Minnesota",2012,"10820","10816","4.8","4.9","4.7","5.3","5.4","5.2","76.6"
"191","Wadena County, Minnesota",2012,"6787","7021","4.8","5.3","4.3","5.2","5.0","5.5","76.0"
"192","Waseca County, Minnesota",2012,"9158","9931","5.1","5.4","4.8","6.6","6.0","7.1","76.4"
"193","Washington County, Minnesota",2012,"118190","120531","5.0","5.2","4.8","6.0","6.2","5.9","73.5"
"194","Watonwan County, Minnesota",2012,"5627","5550","4.6","5.5","3.7","6.1","5.7","6.5","75.0"
"195","Wilkin County, Minnesota",2012,"3329","3255","4.5","4.6","4.3","4.9","4.8","4.9","75.7"
"196","Winona County, Minnesota",2012,"25264","26217","14.6","14.0","15.2","6.0","6.4","5.6","80.8"
"197","Wright County, Minnesota",2012,"62838","61899","4.5","4.4","4.5","6.4","6.4","6.5","70.2"
"198","Yellow Medicine County, Minnesota",2012,"5288","5069","5.1","5.6","4.5","5.3","5.6","5.0","76.7"
"199","Aitkin County, Minnesota",2014,"8103","7861","3.4","3.6","3.3","3.8","3.5","4.0","82.4"
"200","Anoka County, Minnesota",2014,"168202","168114","5.8","5.9","5.6","6.4","6.5","6.3","74.9"
"201","Becker County, Minnesota",2014,"16556","16415","4.8","4.9","4.8","5.2","5.2","5.2","75.4"
"202","Beltrami County, Minnesota",2014,"22654","22582","10.3","10.6","10.0","6.3","6.5","6.1","74.8"
"203","Benton County, Minnesota",2014,"19473","19507","7.0","7.1","6.9","8.3","8.5","8.2","75.3"
"204","Big Stone County, Minnesota",2014,"2529","2651","4.4","4.4","4.5","4.2","4.1","4.4","79.4"
"205","Blue Earth County, Minnesota",2014,"32581","32139","15.9","16.6","15.2","8.2","9.2","7.3","80.5"
"206","Brown County, Minnesota",2014,"12648","12865","6.6","6.9","6.3","5.3","5.4","5.2","78.3"
"207","Carlton County, Minnesota",2014,"18283","17147","5.4","5.9","4.8","5.7","6.0","5.4","76.6"
"208","Carver County, Minnesota",2014,"46728","47484","4.6","4.8","4.4","5.2","5.1","5.3","71.2"
"209","Cass County, Minnesota",2014,"14542","13957","4.5","4.6","4.3","4.5","4.4","4.5","78.7"
"210","Chippewa County, Minnesota",2014,"6055","6180","5.3","5.3","5.3","6.0","7.0","4.9","77.1"
"211","Chisago County, Minnesota",2014,"27799","25999","5.3","6.1","4.5","5.4","5.8","4.9","75.5"
"212","Clay County, Minnesota",2014,"29807","30442","11.6","11.3","11.8","7.0","7.5","6.5","76.9"
"213","Clearwater County, Minnesota",2014,"4424","4311","4.6","5.2","4.1","5.1","5.0","5.2","75.3"
"214","Cook County, Minnesota",2014,"2598","2599","4.7","5.2","4.2","4.8","4.2","5.4","84.1"
"215","Cottonwood County, Minnesota",2014,"5645","6031","5.4","4.8","6.1","4.5","5.3","3.7","76.4"
"216","Crow Wing County, Minnesota",2014,"31463","31437","5.3","5.2","5.4","5.4","5.4","5.4","77.4"
"217","Dakota County, Minnesota",2014,"199214","206307","5.5","5.7","5.4","6.6","6.7","6.5","74.4"
"218","Dodge County, Minnesota",2014,"10116","10130","5.1","5.4","4.8","5.3","5.3","5.4","72.1"
"219","Douglas County, Minnesota",2014,"18199","18214","5.6","6.2","5.0","5.7","5.8","5.6","78.6"
"220","Faribault County, Minnesota",2014,"7192","7145","4.5","5.1","3.9","5.0","5.3","4.8","78.6"
"221","Fillmore County, Minnesota",2014,"10394","10448","4.9","5.1","4.7","4.9","5.1","4.8","76.0"
"222","Freeborn County, Minnesota",2014,"15346","15688","5.4","5.4","5.4","5.2","5.6","4.9","78.1"
"223","Goodhue County, Minnesota",2014,"23190","23146","5.1","5.2","5.0","5.4","5.4","5.3","76.8"
"224","Grant County, Minnesota",2014,"2992","2985","4.5","4.7","4.4","4.8","4.9","4.8","78.7"
"225","Hennepin County, Minnesota",2014,"582534","601557","6.8","6.9","6.8","8.8","8.9","8.7","77.6"
"226","Houston County, Minnesota",2014,"9421","9438","4.8","5.2","4.4","4.9","5.3","4.6","78.1"
"227","Hubbard County, Minnesota",2014,"10286","10232","3.9","4.0","3.7","4.3","4.7","4.0","78.6"
"228","Isanti County, Minnesota",2014,"19245","18945","5.4","5.6","5.1","6.2","6.1","6.2","74.8"
"229","Itasca County, Minnesota",2014,"22904","22399","4.9","5.2","4.5","4.8","4.8","4.8","78.5"
"230","Jackson County, Minnesota",2014,"5184","5076","5.0","5.2","4.7","5.4","5.9","4.9","77.6"
"231","Kanabec County, Minnesota",2014,"8164","7920","4.9","5.2","4.6","5.1","5.2","5.1","77.3"
"232","Kandiyohi County, Minnesota",2014,"21353","20963","7.0","7.4","6.6","5.8","6.1","5.5","76.3"
"233","Kittson County, Minnesota",2014,"2245","2256","4.2","4.4","3.9","3.6","4.0","3.2","77.9"
"234","Koochiching County, Minnesota",2014,"6577","6561","4.3","4.4","4.2","4.7","5.0","4.4","79.9"
"235","Lac qui Parle County, Minnesota",2014,"3562","3534","3.6","4.1","3.2","4.2","4.6","3.7","79.1"
"236","Lake County, Minnesota",2014,"5468","5323","4.2","4.0","4.4","5.2","5.5","5.0","81.5"
"237","Lake of the Woods County, Minnesota",2014,"2057","1919","4.1","4.6","3.5","2.5","2.3","2.8","80.3"
"238","Le Sueur County, Minnesota",2014,"14045","13672","5.0","5.0","5.0","5.5","5.6","5.4","75.3"
"239","Lincoln County, Minnesota",2014,"2932","2889","4.2","4.5","3.8","4.5","4.4","4.6","77.9"
"240","Lyon County, Minnesota",2014,"12811","12913","8.9","9.3","8.5","6.8","7.3","6.3","75.6"
"241","McLeod County, Minnesota",2014,"17949","18223","5.3","5.5","5.1","5.8","6.0","5.6","75.5"
"242","Mahnomen County, Minnesota",2014,"2771","2715","6.0","5.4","6.6","5.0","5.0","5.0","69.7"
"243","Marshall County, Minnesota",2014,"4805","4642","4.4","4.9","4.0","5.2","5.0","5.4","76.9"
"244","Martin County, Minnesota",2014,"10116","10399","4.5","4.7","4.4","5.0","5.1","4.9","78.2"
"245","Meeker County, Minnesota",2014,"11752","11395","4.7","5.0","4.4","5.2","5.2","5.2","75.1"
"246","Mille Lacs County, Minnesota",2014,"12989","12902","5.1","5.2","5.0","5.8","5.5","6.0","75.2"
"247","Morrison County, Minnesota",2014,"16714","16340","5.1","5.1","5.0","5.5","5.6","5.4","76.0"
"248","Mower County, Minnesota",2014,"19654","19658","6.0","6.7","5.2","5.4","5.2","5.5","74.9"
"249","Murray County, Minnesota",2014,"4255","4331","3.9","4.3","3.5","4.4","4.6","4.2","78.5"
